gene;locus_tag;product
NA;NWMN_0562;conserved hypothetical protein
NA;NWMN_0563;conserved hypothetical protein
NA;NWMN_0564;conserved hypothetical protein
NA;NWMN_0565;conserved hypothetical protein
NA;NWMN_0566;conserved hypothetical protein
NA;NWMN_0567;conserved hypothetical protein
NA;NWMN_0568;conserved hypothetical protein
NA;NWMN_0569;conserved hypothetical protein
NA;NWMN_0570;conserved hypothetical protein
NA;NWMN_0571;conserved hypothetical protein
NA;NWMN_0572;aldo/keto reductase family protein
NA;NWMN_0573;conserved hypothetical protein
NA;NWMN_0574;acetyltransferase%2C GNAT family protein
NA;NWMN_0575;conserved hypothetical protein
NA;NWMN_0576;conserved hypothetical protein
adh1;NWMN_0577;alcohol dehydrogenase
NA;NWMN_0578;conserved hypothetical protein
argS;NWMN_0579;arginyl-tRNA synthetase
NA;NWMN_0580;conserved hypothetical protein
NA;NWMN_0581;iron compound ABC transporter%2C iron compound-binding protein
NA;NWMN_0582;iron compound ABC transporter%2C permease protein
NA;NWMN_0583;conserved hypothetical protein
NA;NWMN_0584;hydrolase
NA;NWMN_0585;conserved hypothetical protein
NA;NWMN_0586;conserved hypothetical protein
NA;NWMN_0587;conserved hypothetical protein
sarA;NWMN_0588;staphylococcal accessory regulator A
NA;NWMN_0589;conserved hypothetical protein
NA;NWMN_0590;conserved hypothetical protein
NA;NWMN_0591;conserved hypothetical protein
NA;NWMN_0592;site-specific recombinase
mnhA;NWMN_0593;Na+/H+ antiporter%2C MnhA component
mnhB;NWMN_0594;Na+/H+ antiporter%2C MnhB component
mnhC;NWMN_0595;Na+/H+ antiporter%2C MnhC component
mnhD;NWMN_0596;Na+/H+ antiporter%2C MnhD component
mnhE;NWMN_0597;Na+/H+ antiporter%2C MnhE component
mnhF;NWMN_0598;Na+/H+ antiporter%2C MnhF component
mnhG;NWMN_0599;Na+/H+ antiporter%2C MnhG component
NA;NWMN_0600;conserved hypothetical protein
NA;NWMN_0601;conserved hypothetical protein
NA;NWMN_0602;conserved hypothetical protein
NA;NWMN_0603;ABC transporter ATP-binding protein
feoA;NWMN_0604;iron dependent repressor
NA;NWMN_0605;conserved hypothetical protein
tagA;NWMN_0606;teichoic acid biosynthesis protein A
tagH;NWMN_0607;teichoic acid translocation ATP-binding protein
tagG;NWMN_0608;teichoic acid ABC transporter permease protein
tagB;NWMN_0609;teichoic acid biosynthesis protein B
tagX;NWMN_0610;glycosyltransferase tagX
tagD;NWMN_0611;teichoic acid biosynthesis protein D
pbp4;NWMN_0612;penicillin-binding protein 4
NA;NWMN_0613;ABC transporter ATP-binding protein
NA;NWMN_0614;conserved hypothetical protein
NA;NWMN_0615;conserved hypothetical protein
fhuA;NWMN_0616;ferrichrome transport ATP-binding protein fhuA
fhuB;NWMN_0617;ferrichrome transport permease fhuB
fhuG;NWMN_0618;ferrichrome transport permease fhuG
NA;NWMN_0619;conserved hypothetical protein
NA;NWMN_0620;conserved hypothetical protein
NA;NWMN_0621;conserved hypothetical protein
NA;NWMN_0622;conserved hypothetical protein
NA;NWMN_0623;conserved hypothetical protein
lipA;NWMN_0624;lipase/esterase LipA
NA;NWMN_0625;conserved hypothetical protein
NA;NWMN_0626;conserved hypothetical protein
NA;NWMN_0627;conserved hypothetical protein
graR;NWMN_0628;two-component DNA-binding response regulator
graS;NWMN_0629;two-component sensor histidine kinase
vraF;NWMN_0630;ABC transporter ATP-binding protein VraF
vraG;NWMN_0631;ABC-type transport system permease component VraG
NA;NWMN_0632;conserved hypothetical protein
NA;NWMN_0633;conserved hypothetical protein
NA;NWMN_0634;secretory antigen SsaA-like protein
NA;NWMN_0635;conserved hypothetical protein
NA;NWMN_0636;AraC family regulatory protein
NA;NWMN_0637;staphylococcal accessory regulator protein X
NA;NWMN_0638;conserved hypothetical protein
NA;NWMN_0639;conserved hypothetical protein
NA;NWMN_0640;conserved hypothetical protein
NA;NWMN_0641;conserved hypothetical protein
NA;NWMN_0642;conserved hypothetical protein
NA;NWMN_0643;conserved hypothetical protein
NA;NWMN_0644;conserved hypothetical protein
NA;NWMN_0645;conserved hypothetical protein
NA;NWMN_0646;conserved hypothetical protein
NA;NWMN_0647;conserved hypothetical protein
NA;NWMN_0648;conserved hypothetical protein
NA;NWMN_0649;conserved hypothetical protein
NA;NWMN_0650;conserved hypothetical protein
NA;NWMN_0651;conserved hypothetical protein
bacA;NWMN_0652;undecaprenyl-diphosphatase
NA;NWMN_0653;ABC transporter%2C ATP-binding MsbA family protein
NA;NWMN_0654;ABC transporter%2C ATP-binding MsbA family protein
NA;NWMN_0655;MarR family regulatory protein
NA;NWMN_0656;cobalamin synthesis protein%2C P47K family protein
NA;NWMN_0657;oxidoreductase
NA;NWMN_0658;conserved hypothetical protein
NA;NWMN_0659;anion transporter family protein
NA;NWMN_0660;conserved hypothetical protein
NA;NWMN_0661;conserved hypothetical protein
NA;NWMN_0662;conserved hypothetical protein
NA;NWMN_0663;conserved hypothetical protein
norA;NWMN_0664;quinolone resistance norA protein
NA;NWMN_0665;conserved hypothetical protein
NA;NWMN_0666;conserved hypothetical protein
NA;NWMN_0667;fructose operon transcriptional regulator
fruB;NWMN_0668;fructose 1-phosphate kinase
fruA;NWMN_0669;fructose specific permease
nagA;NWMN_0670;N-acetylglucosamine-6-phosphate deacetylase
NA;NWMN_0671;conserved hypothetical protein
NA;NWMN_0672;aldo/keto reductase family protein
NA;NWMN_0673;conserved hypothetical protein
saeS;NWMN_0674;sensor histidine kinase SaeS
saeR;NWMN_0675;DNA-binding response regulator SaeR
NA;NWMN_0676;conserved hypothetical protein
NA;NWMN_0677;conserved hypothetical protein
NA;NWMN_0678;conserved hypothetical protein
NA;NWMN_0679;conserved hypothetical protein
NA;NWMN_0680;6-pyruvoyl tetrahydropterin synthase
NA;NWMN_0681;conserved hypothetical protein
pabA;NWMN_0682;para-aminobenzoate synthase component II
pabB;NWMN_0683;anthranilate/para-aminobenzoate synthase component I
pabC;NWMN_0684;4-amino-4-deoxychorismate lyase
NA;NWMN_0685;conserved hypothetical protein
NA;NWMN_0686;allophanate hydrolase subunit 2
NA;NWMN_0687;conserved hypothetical protein
NA;NWMN_0688;ABC transporter%2C ATP-binding protein
recQ;NWMN_0689;ATP-dependent DNA helicase
NA;NWMN_0690;osmoprotectant ABC transporter%2C ATP-binding protein
NA;NWMN_0691;ABC transporter permease protein
hisC;NWMN_0692;histidinol-phosphate aminotransferase
NA;NWMN_0693;conserved hypothetical protein
NA;NWMN_0694;conserved hypothetical protein
NA;NWMN_0695;conserved hypothetical protein
NA;NWMN_0696;di-/tripeptide ABC transporter
NA;NWMN_0697;7-cyano-7-deazaguanine reductase
NA;NWMN_0698;conserved hypothetical protein
nrdI;NWMN_0699;ribonucleotide reduction-related NrdI protein
nrdE;NWMN_0700;ribonucleotide-diphosphate reductase alpha chain
nrdF;NWMN_0701;ribonucleotide-diphosphate reductase beta chain
NA;NWMN_0702;ferrichrome ABC transporter permease
NA;NWMN_0703;iron compound ABC transporter%2C permease protein
NA;NWMN_0704;ABC transporter ATP-binding protein
NA;NWMN_0705;ferrichrome ABC transporter lipoprotein
NA;NWMN_0706;conserved hypothetical protein
murB;NWMN_0707;UDP-N-acetylenolpyruvoylglucosamine reductase
NA;NWMN_0708;conserved hypothetical protein
NA;NWMN_0709;conserved hypothetical protein
NA;NWMN_0710;conserved hypothetical protein
NA;NWMN_0711;conserved hypothetical protein
pepT;NWMN_0712;peptidase T
NA;NWMN_0713;conserved hypothetical protein
NA;NWMN_0714;conserved hypothetical protein
NA;NWMN_0715;GGDEF domain protein
llm;NWMN_0716;lipophilic regulator protein
NA;NWMN_0717;conserved hypothetical protein
NA;NWMN_0718;conserved hypothetical protein
NA;NWMN_0719;conserved hypothetical protein
NA;NWMN_0720;conserved hypothetical protein
NA;NWMN_0721;sigma 54 modulation protein
secA;NWMN_0722;preprotein translocase SecA subunit
prfB;NWMN_0723;peptide chain release factor 2%2C programmed frameshift
NA;NWMN_0724;conserved hypothetical protein
NA;NWMN_0725;conserved hypothetical protein
uvrB;NWMN_0726;excinuclease ABC subunit B
uvrA;NWMN_0727;excinuclease ABC subunit A
hprK;NWMN_0728;HPr kinase/phosphatase
lgt;NWMN_0729;prolipoprotein diacylglyceryl transferase
NA;NWMN_0730;conserved hypothetical protein
NA;NWMN_0731;TPR domain protein
trxB;NWMN_0732;thioredoxin reductase
NA;NWMN_0733;conserved hypothetical protein
NA;NWMN_0734;conserved hypothetical protein
NA;NWMN_0735;conserved hypothetical protein
clpP;NWMN_0736;ATP-dependent Clp protease proteolytic subunit
NA;NWMN_0737;conserved hypothetical protein
NA;NWMN_0738;conserved hypothetical protein
NA;NWMN_0739;conserved hypothetical protein
gapR;NWMN_0740;glycolytic operon regulator
gapA;NWMN_0741;glyceraldehyde 3-phosphate dehydrogenase 1
pgk;NWMN_0742;phosphoglycerate kinase
tpi;NWMN_0743;triosephosphate isomerase
pgm;NWMN_0744;2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase
eno;NWMN_0745;enolase
NA;NWMN_0746;conserved hypothetical protein
secG;NWMN_0747;preprotein translocase%2C SecG subunit
NA;NWMN_0748;conserved hypothetical protein
NA;NWMN_0749;ribonuclease R
ssrP;NWMN_0750;tmRNA-binding protein
NA;NWMN_0751;conserved hypothetical protein
NA;NWMN_0752;conserved hypothetical protein
NA;NWMN_0753;conserved hypothetical protein
NA;NWMN_0754;conserved hypothetical protein
NA;NWMN_0755;conserved hypothetical protein
clfA;NWMN_0756;clumping factor A
NA;NWMN_0757;secreted von Willebrand factor-binding protein precursor
ssp;NWMN_0758;extracellular matrix and plasma binding protein
NA;NWMN_0759;conserved hypothetical protein
NA;NWMN_0760;thermonuclease precursor
cspC;NWMN_0761;cold-shock protein CSD family protein
NA;NWMN_0762;conserved hypothetical protein
NA;NWMN_0763;conserved hypothetical protein
NA;NWMN_0764;conserved hypothetical protein
NA;NWMN_0765;conserved hypothetical protein
NA;NWMN_0766;conserved hypothetical protein
NA;NWMN_0767;conserved hypothetical protein
NA;NWMN_0768;conserved hypothetical protein
NA;NWMN_0769;conserved hypothetical protein
NA;NWMN_0770;conserved hypothetical protein
NA;NWMN_0771;OsmC-like protein
NA;NWMN_0772;3-dehydroquinate dehydratase%2C type I
NA;NWMN_0773;nitroreductase family protein
NA;NWMN_0774;conserved hypothetical protein
NA;NWMN_0775;conserved hypothetical protein
NA;NWMN_0776;glycine cleavage system H protein
NA;NWMN_0777;conserved hypothetical protein
NA;NWMN_0778;conserved hypothetical protein
NA;NWMN_0779;conserved hypothetical protein
NA;NWMN_0780;ABC transporter ATP-binding protein
NA;NWMN_0781;ABC transporter permease protein
NA;NWMN_0782;ABC transporter%2C substrate-binding protein
NA;NWMN_0783;CsbD-like superfamily protein
NA;NWMN_0784;conserved hypothetical protein
sufC;NWMN_0785;FeS assembly ATPase SufC
sufD;NWMN_0786;FeS assembly protein SufD
sufS;NWMN_0787;cysteine desulfurase SufS subfamily protein
nifU;NWMN_0788;nitrogen fixation protein NifU homolog
sufB;NWMN_0789;FeS assembly protein SufB
NA;NWMN_0790;conserved hypothetical protein
NA;NWMN_0791;conserved hypothetical protein
NA;NWMN_0792;conserved hypothetical protein
NA;NWMN_0793;conserved hypothetical protein
NA;NWMN_0794;conserved hypothetical protein
NA;NWMN_0795;conserved hypothetical protein
lipA;NWMN_0796;lipoic acid synthetase
NA;NWMN_0797;conserved hypothetical protein
NA;NWMN_0798;conserved hypothetical protein
NA;NWMN_0799;conserved hypothetical protein
NA;NWMN_0800;hydrolase
NA;NWMN_0801;D-isomer specific 2-hydroxyacid dehydrogenase
NA;NWMN_0802;conserved hypothetical protein
dltA;NWMN_0803;D-alanine-D-alanyl carrier protein ligase
dltB;NWMN_0804;D-alanine lipoteichoic acid and wall teichoic acid esterification protein
dltC;NWMN_0805;D-alanyl carrier protein
dltD;NWMN_0806;D-alanine-activating DltD protein
NA;NWMN_0807;conserved hypothetical protein
NA;NWMN_0808;conserved hypothetical protein
NA;NWMN_0809;conserved hypothetical protein
NA;NWMN_0810;conserved hypothetical protein
NA;NWMN_0811;conserved hypothetical protein
ampA;NWMN_0812;cytosol aminopeptidase
NA;NWMN_0813;Na+/H+ antiporter family protein
NA;NWMN_0814;conserved hypothetical protein
NA;NWMN_0815;conserved hypothetical protein
mnhG;NWMN_0816;Na+/H+ antiporter subunit
mnhF;NWMN_0817;Na+/H+ antiporter subunit
mnhE;NWMN_0818;Na+/H+ antiporter subunit
mnhD;NWMN_0819;Na+/H+ antiporter subunit
mnhC;NWMN_0820;Na+/H+ antiporter subunit
mnhB;NWMN_0821;Na+/H+ antiporter subunit
mnhA;NWMN_0822;Na+/H+ antiporter subunit
NA;NWMN_0823;conserved hypothetical protein
ppi;NWMN_0824;cyclophilin type peptidyl-prolyl cis-trans isomerase
NA;NWMN_0825;conserved hypothetical protein
NA;NWMN_0826;NADH-dependent flavin oxidoreductase
NA;NWMN_0827;ornithine-oxo-acid transaminase
gudB;NWMN_0828;NAD-specific glutamate dehydrogenase
NA;NWMN_0829;hypothetical protein
glpQ;NWMN_0830;glycerophosphoryl diester phosphodiesterase
argH;NWMN_0831;argininosuccinate lyase
argG;NWMN_0832;argininosuccinate synthase
pgi;NWMN_0833;glucose-6-phosphate isomerase
NA;NWMN_0834;conserved hypothetical protein
spsA;NWMN_0835;type-I signal peptidase A component
spsB;NWMN_0836;signal peptidase IB
rexB;NWMN_0837;exonuclease RexB
rexA;NWMN_0838;exonuclease RexA
NA;NWMN_0839;fumarylacetoacetate hydrolase family protein
NA;NWMN_0840;conserved hypothetical protein
cdr;NWMN_0841;coenzyme A disulfide reductase
NA;NWMN_0842;conserved hypothetical protein
NA;NWMN_0843;conserved hypothetical protein
clpB;NWMN_0844;conserved hypothetical protein
NA;NWMN_0845;ATP-dependent Clp protease%2C ATP-binding subunit ClpB
NA;NWMN_0846;LysR family regulatory protein
NA;NWMN_0847;conserved hypothetical protein
NA;NWMN_0848;conserved hypothetical protein
NA;NWMN_0849;conserved hypothetical protein
NA;NWMN_0850;conserved hypothetical protein
NA;NWMN_0851;truncated MHC class II analog protein
NA;NWMN_0852;conserved hypothetical protein
NA;NWMN_0853;3-oxoacyl-(acyl-carrier-protein) synthase III
NA;NWMN_0854;3-oxoacyl-(acyl-carrier-protein) synthase II
oppB;NWMN_0855;conserved hypothetical protein
NA;NWMN_0856;oligopeptide transport system permease protein
oppC;NWMN_0857;oligopeptide ABC transporter%2C permease protein
oppD;NWMN_0858;oligopeptide transport ATP-binding protein
oppF;NWMN_0859;oligopeptide ABC transporter%2C ATP-binding protein
NA;NWMN_0860;conserved hypothetical protein
NA;NWMN_0861;oligopeptide ABC transporter%2C oligopeptide-binding protein
appF;NWMN_0862;conserved hypothetical protein
NA;NWMN_0863;oligopeptide ABC transporter%2C ATP-binding protein
NA;NWMN_0864;conserved hypothetical protein
NA;NWMN_0865;oligopeptide ABC transporter%2C permease protein
trpS;NWMN_0866;tryptophanyl-tRNA synthetase
NA;NWMN_0867;conserved hypothetical protein
NA;NWMN_0868;conserved hypothetical protein
NA;NWMN_0869;conserved hypothetical protein
NA;NWMN_0870;oligoendopeptidase F
NA;NWMN_0871;hypothetical protein
NA;NWMN_0872;GTP pyrophosphokinase
NA;NWMN_0873;protozoan/cyanobacterial globin family protein
NA;NWMN_0874;conserved hypothetical protein
NA;NWMN_0875;conserved hypothetical protein
NA;NWMN_0876;GTP pyrophosphokinase
NA;NWMN_0877;inorganic polyphosphate/ATP-NAD kinase
NA;NWMN_0878;RNA pseudouridylate synthase
NA;NWMN_0879;magnesium transporter
NA;NWMN_0880;monovalent cation/H+ antiporter-2 (CPA2) family protein
NA;NWMN_0881;enoyl-(acyl carrier protein) reductase
NA;NWMN_0882;conserved hypothetical protein
NA;NWMN_0883;Na+/alanine symporter family protein
NA;NWMN_0884;conserved hypothetical protein
NA;NWMN_0885;2'%2C5' RNA ligase
NA;NWMN_0886;conserved hypothetical protein
murG;NWMN_0887;UDP-glucose diacylglycerol glucosyltransferase
murE;NWMN_0888;UDP-N-acetylmuramoylalanyl-D-glutamate-2%2C 6-diaminopimelate ligase
NA;NWMN_0889;conserved hypothetical protein
NA;NWMN_0890;peptide chain release factor 3
NA;NWMN_0891;conserved hypothetical protein
htrA;NWMN_0892;serine protease HtrA
NA;NWMN_0893;Na+ transporting ATP synthase
NA;NWMN_0894;5' nucleotidase family protein
comK;NWMN_0895;competence transcription factor ComK homolog
NA;NWMN_0896;conserved hypothetical protein
NA;NWMN_0897;lipoate-protein ligase A
NA;NWMN_0898;conserved hypothetical protein
NA;NWMN_0899;conserved hypothetical protein
NA;NWMN_0900;hypothetical protein
NA;NWMN_0901;conserved hypothetical protein
NA;NWMN_0902;conserved hypothetical protein
NA;NWMN_0903;conserved hypothetical protein
NA;NWMN_0904;conserved hypothetical protein
NA;NWMN_0905;conserved hypothetical protein
NA;NWMN_0906;glycosyl transferase%2C group 1 family protein
NA;NWMN_0907;conserved hypothetical protein
NA;NWMN_0908;conserved hypothetical protein
NA;NWMN_0909;conserved hypothetical protein
NA;NWMN_0910;conserved hypothetical protein
NA;NWMN_0911;1%2C4-dihydroxy-2-naphthoate octaprenyltransferase
NA;NWMN_0912;conserved hypothetical protein
memD;NWMN_0913;2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxy lic acid synthase
NA;NWMN_0914;conserved hypothetical protein
memB;NWMN_0915;naphthoate synthase
sspC;NWMN_0916;cysteine protease precursor
sspB;NWMN_0917;cysteine protease precursor
sspA;NWMN_0918;V8 protease%2C glutamyl endopeptidase precursor
NA;NWMN_0919;aminotransferase%2C class I
NA;NWMN_0920;conserved hypothetical protein
NA;NWMN_0921;ATL autolysin transcriptional regulator
atl;NWMN_0922;bifunctional autolysin precursor
NA;NWMN_0923;acetyltransferase%2C GNAT family protein
NA;NWMN_0924;conserved hypothetical protein
NA;NWMN_0925;conserved hypothetical protein
NA;NWMN_0926;autolysis and methicillin resistant-related protein FmtA
qoxD;NWMN_0927;quinol oxidase polypeptide IV
qoxC;NWMN_0928;quinol oxidase polypeptide III
qoxB;NWMN_0929;quinol oxidase polypeptide I QoxB
qoxA;NWMN_0930;quinol oxidase polypeptide II QoxA
NA;NWMN_0931;conserved hypothetical protein
folD;NWMN_0932;FolD bifunctional protein
purE;NWMN_0933;phosphoribosylaminoimidazole carboxylase catalytic subunit
purK;NWMN_0934;phosphoribosylaminoimidazole carboxylase%2C ATPase subunit
purC;NWMN_0935;phosphoribosylaminoimidazole-succinocarboxamide synthase
purQ;NWMN_0936;phosphoribosylformylglycinamidine synthase I
purL;NWMN_0937;phosphoribosylformylglycinamidine synthase II
purF;NWMN_0938;amidophosphoribosyltransferase precursor
purM;NWMN_0939;phosphoribosylformylglycinamidine cyclo-ligase
purN;NWMN_0940;phosphoribosylglycinamide formyltransferase
purH;NWMN_0941;bifunctional purine biosynthesis protein
purD;NWMN_0942;phosphoribosylamine-glycine ligase
NA;NWMN_0943;conserved hypothetical protein
NA;NWMN_0944;conserved hypothetical protein
NA;NWMN_0945;conserved hypothetical protein
NA;NWMN_0946;conserved hypothetical protein
NA;NWMN_0947;conserved hypothetical protein
NA;NWMN_0948;conserved hypothetical protein
NA;NWMN_0949;histidine-containing phosphocarrier protein
NA;NWMN_0950;phosphoenolpyruvate-protein phosphatase
nrdH;NWMN_0951;redoxin faimily protein NrdH
cydA;NWMN_0952;cytochrome D ubiquinol oxidase%2C subunit I
cydB;NWMN_0953;cytochrome D ubiquinol oxidase%2C subunit II
NA;NWMN_0954;conserved hypothetical protein
NA;NWMN_0955;conserved hypothetical protein
NA;NWMN_0956;conserved hypothetical protein
pdf1;NWMN_0957;polypeptide deformylase 2
NA;NWMN_0958;conserved hypothetical protein
phdA;NWMN_0959;pyruvate dehydrogenase E1 component%2C alpha subunit
phdB;NWMN_0960;pyruvate dehydrogenase E1 component%2C beta subunit
pdhC;NWMN_0961;dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex
pdhD;NWMN_0962;dihydrolipoamide dehydrogenase: subunit E3
NA;NWMN_0963;conserved hypothetical protein
NA;NWMN_0964;conserved hypothetical protein
potA;NWMN_0965;spermidine/putrescine ABC transporter%2C ATP-binding protein
potB;NWMN_0966;spermidine/putrescine ABC transporter%2C permease protein
potC;NWMN_0967;spermidine/putrescine ABC transporter%2C permease protein
NA;NWMN_0968;spermidine/putrescine ABC transporter%2C binding protein
NA;NWMN_0969;conserved hypothetical protein
NA;NWMN_0970;conserved hypothetical protein
NA;NWMN_0971;Mn2+/Fe2+ transporter NRAMP family protein
NA;NWMN_0972;conserved hypothetical protein
NA;NWMN_0973;inositol-1-monophosphatase family protein
NA;NWMN_0974;small GTP-binding protein domain:GTP-binding protein TypA
NA;NWMN_0975;conserved hypothetical protein
NA;NWMN_0976;conserved hypothetical protein
NA;NWMN_0977;conserved hypothetical protein
NA;NWMN_0978;cell division protein
pycA;NWMN_0979;pyruvate carboxylase
NA;NWMN_0980;cytochrome oxidase assembly protein
cyoD;NWMN_0981;protoheme IX farnesyltransferase
NA;NWMN_0982;conserved hypothetical protein
NA;NWMN_0983;conserved hypothetical protein
NA;NWMN_0984;conserved hypothetical protein
NA;NWMN_0985;conserved hypothetical protein
NA;NWMN_0986;conserved hypothetical protein
NA;NWMN_0987;conserved hypothetical protein
NA;NWMN_0988;phosphopantetheine adenyltransferase homolog
NA;NWMN_0989;conserved hypothetical protein
NA;NWMN_0990;conserved hypothetical protein
rpmF;NWMN_0991;ribosomal protein L32
int;NWMN_0992;integrase
NA;NWMN_0993;conserved hypothetical protein
NA;NWMN_0994;phage cI-like repressor
NA;NWMN_0995;phage anti-repressor protein
NA;NWMN_0996;conserved hypothetical protein
NA;NWMN_0997;conserved hypothetical protein
NA;NWMN_0998;conserved hypothetical protein
NA;NWMN_0999;conserved hypothetical protein
NA;NWMN_1000;conserved hypothetical protein
NA;NWMN_1001;conserved hypothetical protein
NA;NWMN_1002;conserved hypothetical protein
NA;NWMN_1003;conserved hypothetical protein
NA;NWMN_1004;conserved hypothetical protein
NA;NWMN_1005;endodeoxyribonuclease
NA;NWMN_1006;conserved hypothetical protein
NA;NWMN_1007;conserved hypothetical protein
NA;NWMN_1008;conserved hypothetical protein
NA;NWMN_1009;conserved hypothetical protein
NA;NWMN_1010;conserved hypothetical protein
NA;NWMN_1011;conserved hypothetical protein
NA;NWMN_1012;conserved hypothetical protein
NA;NWMN_1013;phage transcriptional activator RinA
NA;NWMN_1014;phage terminase small subunit
NA;NWMN_1015;phage terminase large subunit
NA;NWMN_1016;phage portal protein
NA;NWMN_1017;phage head morphogenesis protein
NA;NWMN_1018;conserved hypothetical protein
NA;NWMN_1019;phage head protein
NA;NWMN_1020;conserved hypothetical protein
NA;NWMN_1021;conserved hypothetical protein
NA;NWMN_1022;conserved hypothetical protein
NA;NWMN_1023;conserved hypothetical protein
NA;NWMN_1024;conserved hypothetical protein
NA;NWMN_1025;phage major tail protein
NA;NWMN_1026;conserved hypothetical protein
NA;NWMN_1027;conserved hypothetical protein
NA;NWMN_1028;phage tape measure protein
NA;NWMN_1029;conserved hypothetical protein
NA;NWMN_1030;conserved hypothetical protein
NA;NWMN_1031;conserved hypothetical protein
NA;NWMN_1032;conserved hypothetical protein
NA;NWMN_1034;conserved hypothetical protein
NA;NWMN_1035;phage N-acetylglucosamidase
NA;NWMN_1036;phage tail fiber
NA;NWMN_1037;conserved hypothetical protein
NA;NWMN_1038;phage holin
NA;NWMN_1039;phage amidase [Bacteriophage phiNM2]
isdB;NWMN_1040;iron-regulated heme-iron binding protein IsdB
isdA;NWMN_1041;iron-regulated heme-iron binding protein IsdA
isdC;NWMN_1042;iron-regulated cell surface protein
isdD;NWMN_1043;iron-transporting membrane protein
isdE;NWMN_1044;iron compound ABC transporter
isdF;NWMN_1045;iron/heme permease
srtB;NWMN_1046;NPQTN-specific sortase B
isdG;NWMN_1047;cytoplasmic heme-iron binding protein
NA;NWMN_1048;SpoU rRNA Methylase family protein
pheS;NWMN_1049;phenylalanyl-tRNA synthetase%2C alpha subunit
pheT;NWMN_1050;phenylalanyl-tRNA synthetase%2C beta subunit
NA;NWMN_1051;ribonuclease HIII
NA;NWMN_1052;hypothetical protein
NA;NWMN_1053;conserved hypothetical protein
NA;NWMN_1054;conserved hypothetical protein
rpoD;NWMN_1055;DNA-dependent DNA polymerase beta chain
mutS2;NWMN_1056;DNA mismatch repair MutS2 family protein
trxA;NWMN_1057;thioredoxin
uvrC;NWMN_1058;uvr ABC system protein%2C C subunit
NA;NWMN_1059;hypothetical protein
sdhC;NWMN_1060;succinate dehydrogenase cytochrome b558 subunit
sdhA;NWMN_1061;succinate dehydrogenase flavoprotein subunit
sdhB;NWMN_1062;succinate dehydrogenase iron-sulfur protein
NA;NWMN_1063;glutamate racemase
NA;NWMN_1064;conserved hypothetical protein
NA;NWMN_1065;conserved hypothetical protein
NA;NWMN_1066;conserved hypothetical protein
NA;NWMN_1067;conserved hypothetical protein
NA;NWMN_1068;conserved hypothetical protein
NA;NWMN_1069;conserved hypothetical protein
NA;NWMN_1070;conserved hypothetical protein
NA;NWMN_1071;conserved hypothetical protein
NA;NWMN_1072;conserved hypothetical protein
hla;NWMN_1073;alpha-hemolysin precursor
NA;NWMN_1074;conserved hypothetical protein
NA;NWMN_1075;conserved hypothetical protein
NA;NWMN_1076;conserved hypothetical protein
NA;NWMN_1077;conserved hypothetical protein
argF;NWMN_1078;ornithine carbamoyltransferase
arcC;NWMN_1079;carbamate kinase
NA;NWMN_1080;transporter TRAP family protein
NA;NWMN_1081;conserved hypothetical protein
eta;NWMN_1082;exfoliative toxin A
NA;NWMN_1083;DNA-binding protein
psmb1;NWMN_1084;phenol-soluble modulin beta 1
NA;NWMN_1085;conserved hypothetical protein
NA;NWMN_1086;acetyltransferase%2C GNAT family protein
NA;NWMN_1087;conserved hypothetical protein
NA;NWMN_1088;conserved hypothetical protein
mraW;NWMN_1089;S-adenosyl-methyltransferase MraW
ftsL;NWMN_1090;cell division protein
pbpA;NWMN_1091;penicillin-binding protein 1
mraY;NWMN_1092;phospho-N-acetylmuramoyl-pentapeptide-transferase 
mruD;NWMN_1093;UDP-N-acetylmuramoylalanine-D-glutamate ligase
ftsQ;NWMN_1094;cell division protein FtsQ
ftsA;NWMN_1095;cell division protein FtsA
ftsZ;NWMN_1096;cell division protein FtsZ
NA;NWMN_1097;conserved hypothetical protein
NA;NWMN_1098;conserved hypothetical protein
NA;NWMN_1099;conserved hypothetical protein
NA;NWMN_1100;conserved hypothetical protein
NA;NWMN_1101;conserved hypothetical protein
NA;NWMN_1102;conserved hypothetical protein
ileS;NWMN_1103;isoleucyl-tRNA synthetase
NA;NWMN_1104;hypothetical protein
NA;NWMN_1105;glyoxalase
NA;NWMN_1106;truncated transposase
lsp;NWMN_1107;lipoprotein signal peptidase
NA;NWMN_1108;pseudouridylate synthase
pryR;NWMN_1109;pyrimidine operon regulatory protein
pyrP;NWMN_1110;uracil permease
pyrB;NWMN_1111;aspartate carbamoyltransferase catalytic subunit
pyrC;NWMN_1112;dihydroorotase multifunctional complex type
pyrAA;NWMN_1113;carbamoyl-phosphate synthase%2C pyrimidine-specific%2C small chain
pyrAB;NWMN_1114;carbamoyl-phosphate synthase%2C pyrimidine-specific%2C large chain
pryF;NWMN_1115;orotidine 5'-phosphate decarboxylase
pyrE;NWMN_1116;orotate phosphoribosyltransferase
NA;NWMN_1117;conserved hypothetical protein
NA;NWMN_1118;conserved hypothetical protein
NA;NWMN_1119;conserved hypothetical protein
gmk;NWMN_1120;guanylate kinase
coaBC;NWMN_1121;phosphopantothenoylcysteine decarboxylase
priA;NWMN_1122;primosomal protein N'
NA;NWMN_1123;conserved hypothetical protein
