gene;locus_tag;product
entB;NWMN_0131;isochorismatase
ipdC;NWMN_0132;indole-3-pyruvate decarboxylase
glcA;NWMN_0133;glucose-specific PTS transporter protein IIABC component
NA;NWMN_0134;conserved hypothetical protein
NA;NWMN_0135;conserved hypothetical protein
NA;NWMN_0136;sucrose-specific PTS transporter IIBC component protein
NA;NWMN_0137;RpiR family transcriptional regulator
NA;NWMN_0138;conserved hypothetical protein
hsdR;NWMN_0139;type-I restriction-modification system restriction endonuclease subunit
NA;NWMN_0140;conserved hypothetical protein
NA;NWMN_0141;conserved hypothetical protein
NA;NWMN_0142;conserved hypothetical protein
NA;NWMN_0143;oligopeptide ABC transporter%2C ATP-binding protein
NA;NWMN_0144;oligopeptide ABC transporter%2C permease protein
NA;NWMN_0145;peptide ABC transporter%2C permease protein
rlp;NWMN_0146;RGD-containing lipoprotein
NA;NWMN_0147;conserved hypothetical protein
NA;NWMN_0148;conserved hypothetical protein
NA;NWMN_0149;acyl carrier protein phosphodiesterase
NA;NWMN_0150;conserved hypothetical protein
NA;NWMN_0151;conserved hypothetical protein
NA;NWMN_0152;conserved hypothetical protein
NA;NWMN_0153;conserved hypothetical protein
NA;NWMN_0154;conserved hypothetical protein
NA;NWMN_0155;conserved hypothetical protein
NA;NWMN_0156;conserved hypothetical protein
NA;NWMN_0157;conserved hypothetical protein
NA;NWMN_0158;sugar phosphate transport protein
NA;NWMN_0159;DNA-binding response regulator AraC family protein
NA;NWMN_0160;conserved hypothetical protein
NA;NWMN_0161;conserved hypothetical protein
pflB;NWMN_0162;formate acetyltransferase
NA;NWMN_0163;conserved hypothetical protein
NA;NWMN_0164;glycerophosphoryl diester phosphodiesterase
NA;NWMN_0165;conserved hypothetical protein
coa;NWMN_0166;coagulase precursor
fadA;NWMN_0167;acetyl-CoA acetyltransferase homolog
fadB;NWMN_0168;3-hydroxyacyl-CoA dehydrogenase FadB homolog
fadD;NWMN_0169;acyl-CoA dehydrogenase FadD homolog
fadE;NWMN_0170;acyl-CoA synthetase FadE homolog
NA;NWMN_0171;acetyl-CoA/acetoacetyl-CoA transferase
NA;NWMN_0172;conserved hypothetical protein
NA;NWMN_0173;ABC transporter%2C substrate-binding protein
NA;NWMN_0174;conserved hypothetical protein
NA;NWMN_0175;flavohemoprotein
ldh1;NWMN_0176;L-lactate dehydrogenase
NA;NWMN_0177;conserved hypothetical protein
NA;NWMN_0178;conserved hypothetical protein
NA;NWMN_0179;transcriptional antiterminator BglG family protein
NA;NWMN_0180;conserved hypothetical protein
NA;NWMN_0181;conserved hypothetical protein
NA;NWMN_0182;conserved hypothetical protein
NA;NWMN_0183;sorbitol dehydrogenase
NA;NWMN_0184;conserved hypothetical protein
NA;NWMN_0185;conserved hypothetical protein
NA;NWMN_0186;zinc-containing alcohol dehydrogenase
NA;NWMN_0187;conserved hypothetical protein
NA;NWMN_0188;conserved hypothetical protein
NA;NWMN_0189;conserved hypothetical protein
NA;NWMN_0190;conserved hypothetical protein
NA;NWMN_0191;conserved hypothetical protein
NA;NWMN_0192;glycosyl transferase group 2 family protein
scdA;NWMN_0193;cell wall metabolism protein
lytS;NWMN_0194;autolysin sensor histidine kinase protein
lytR;NWMN_0195;autolysin two-component response regulator
lrgA;NWMN_0196;murein hydrolase regulator LrgA
lrgB;NWMN_0197;antiholin-like protein LrgB
NA;NWMN_0198;transcriptional regulator%2C GntR family protein
NA;NWMN_0199;PTS system%2C IIA component
bglA;NWMN_0200;6-phospho-beta-glucosidase
NA;NWMN_0201;conserved hypothetical protein
rbsK;NWMN_0202;ribokinase
rbsD;NWMN_0203;ribose ABC transporter protein
rbsU;NWMN_0204;ribose transporter RbsU
rbsR;NWMN_0205;ribose transcriptional repressor RbsR
NA;NWMN_0206;conserved hypothetical protein
NA;NWMN_0207;conserved hypothetical protein
NA;NWMN_0208;conserved hypothetical protein
NA;NWMN_0209;choloylglycine hydrolase family protein
lytM;NWMN_0210;peptidoglycan hydrolase
NA;NWMN_0211;conserved hypothetical protein
NA;NWMN_0212;conserved hypothetical protein
NA;NWMN_0213;conserved hypothetical protein
NA;NWMN_0214;hypothetical protein
NA;NWMN_0215;conserved hypothetical protein
NA;NWMN_0216;conserved hypothetical protein
NA;NWMN_0217;conserved hypothetical protein
NA;NWMN_0218;staphyloxanthin biosynthesis protein
NA;NWMN_0219;conserved hypothetical protein
NA;NWMN_0220;conserved hypothetical protein
NA;NWMN_0221;conserved hypothetical protein
NA;NWMN_0222;conserved hypothetical protein
NA;NWMN_0223;conserved hypothetical protein
NA;NWMN_0224;conserved hypothetical protein
NA;NWMN_0225;conserved hypothetical protein
NA;NWMN_0226;conserved hypothetical protein
NA;NWMN_0227;conserved hypothetical protein
NA;NWMN_0228;conserved hypothetical protein
NA;NWMN_0229;conserved hypothetical protein
NA;NWMN_0230;conserved hypothetical protein
NA;NWMN_0231;conserved hypothetical protein
NA;NWMN_0232;conserved hypothetical protein
NA;NWMN_0233;conserved hypothetical protein
NA;NWMN_0234;conserved hypothetical protein
NA;NWMN_0235;conserved hypothetical protein
NA;NWMN_0236;conserved hypothetical protein
NA;NWMN_0237;conserved hypothetical protein
NA;NWMN_0238;conserved hypothetical protein
NA;NWMN_0239;conserved hypothetical protein
NA;NWMN_0240;conserved hypothetical protein
NA;NWMN_0241;conserved hypothetical protein
NA;NWMN_0242;conserved hypothetical protein
NA;NWMN_0243;conserved hypothetical protein
NA;NWMN_0244;conserved hypothetical protein
NA;NWMN_0245;conserved hypothetical protein
NA;NWMN_0246;conserved hypothetical protein
NA;NWMN_0247;formate/nitrite transporter family protein
